ID,Cuteness,Number of Hops per Hour,FavFood
1,9,190.83788299668143,lettuce
2,10,199.22665424854637,lettuce
3,9,197.04082635152088,apples
4,10,144.55292164605348,carrots
5,9,186.08249213762642,kale
6,9,195.16629164656635,kale
7,10,140.54776317482913,apples
8,9,185.0731657634379,apples
9,10,103.89078086239027,lettuce
10,9,160.2271444817966,kale
11,9,126.0684735924224,carrots
12,9,106.94272575173585,apples
13,10,106.40843747580418,carrots
14,9,161.28595721842603,carrots
15,9,135.98361198983304,kale
16,9,175.71265685138988,kale
17,9,104.11970176839736,apples
18,10,139.3989675995112,kale
19,10,147.82030092252202,kale
20,9,171.75044208284726,kale
21,10,132.99750938600684,carrots
22,9,167.82462915676166,apples
23,9,197.01741328090804,lettuce
24,9,159.29189750388574,carrots
25,10,128.68935164251985,kale
26,10,102.24753580815027,carrots
27,10,186.1467508903889,kale
28,10,106.54524077247207,kale
29,10,190.73178166048703,carrots
30,10,145.0117526177999,apples
31,10,201.2894715999191,kale
32,10,186.7787803481038,apples
33,10,196.6655975457861,lettuce
34,9,137.05019921235805,kale
35,10,179.18897982452637,apples
36,10,141.49646019004373,apples
37,10,145.2360362611638,lettuce
38,10,159.39242948214672,apples
39,10,187.23994106367667,apples
40,10,204.27199201622633,lettuce
41,10,179.545342159424,kale
42,10,139.92360655630284,apples
43,10,145.99419378094873,apples
44,10,159.51551705573877,apples
45,10,129.62154307869073,carrots
46,9,102.34884241924897,lettuce
47,9,133.650011057062,carrots
48,10,123.12554969227745,lettuce
49,10,123.15740466699445,kale
50,9,129.1649090418836,kale
51,10,101.87081295707674,apples
52,9,103.51991288199496,lettuce
53,9,198.53763607920723,kale
54,9,145.16251750970187,lettuce
55,9,138.81677417126946,kale
56,9,161.54976714836414,carrots
57,10,126.80672288374211,kale
58,9,192.52733547921596,carrots
59,10,170.85159194825647,kale
60,10,106.80052442639638,apples
61,9,149.2618765316644,carrots
62,9,192.16293946678394,kale
63,10,192.72994155710174,apples
64,9,144.99386260339483,carrots
65,9,159.73296366498386,apples
66,10,127.08713452701173,lettuce
67,10,201.02653987485542,lettuce
68,9,125.31737837429968,carrots
69,10,199.42459468367178,kale
70,9,166.1586106943694,carrots
71,9,159.4784687587824,apples
72,9,150.28710185622597,kale
73,10,122.70897487470555,lettuce
74,10,117.46669201800161,kale
75,10,125.68676862520243,lettuce
76,10,118.90355564346196,kale
77,10,181.62164774275323,kale
78,9,134.6089430161301,kale
79,9,106.17744360792008,apples
80,9,186.9192595914206,apples
81,9,192.96022686985498,carrots
82,10,194.50767069901124,carrots
83,9,204.48083281394182,lettuce
84,10,102.90824803098027,apples
85,9,150.06607541416952,lettuce
86,10,175.12589942963325,carrots
87,10,175.1429758890668,lettuce
88,9,110.19006099835785,carrots
89,9,184.64718202437462,apples
90,9,117.17697936779778,kale
91,9,119.26291667878328,apples
92,10,163.26759905867527,lettuce
93,9,158.3405814803536,lettuce
94,9,159.09578514967973,apples
95,10,113.49902239321926,apples
96,9,190.22449570290107,carrots
97,9,127.31209878458849,lettuce
