DogID,Name,Breed,Age,GoodDog,Product1,Product2,Treats
bebb2bda-98b7-465b-a616-05fac81041f8,Noam Chompsky,German Shepherd Dog,11,True,Carrot Plushy,ChewChew Train Dog Bed,14
71fa84e4-98b3-447d-8692-03ab9d01c619,Charlie,Labrador Retriever,12,True,ChewChew Train Dog Bed,Stack of Artisinal Homework,15
d5746082-a714-4e3f-8943-4c1c78397e84,Luna,Labrador Retriever,5,True,Post breakfast treats - calory free,Stack of Artisinal Homework,89
790988e4-b228-4483-9e89-b30571764e95,Lucy,Yorkshire Terrier,6,True,Post breakfast treats - calory free,Stack of Artisinal Homework,35
47c89177-58f6-4ca5-902f-15c524fc2e98,Max,Doberman Pinscher,1,True,Post breakfast treats - calory free,Stack of Artisinal Homework,54
b491d832-1bdb-492b-b527-ed46b6181cce,Barkley,French Bulldog,12,True,Carrot Plushy,ChewChew Train Dog Bed,41
0826b092-2729-44e1-9594-d7e371105bf9,Cooper,Miniature Schnauzer,14,True,Where is the Ball? - Transparent Edition,Stack of Artisinal Homework,64
0b5f1820-0699-4171-ae3d-6842d9ed3c39,Poofpoof,Great Dane,2,True,Carrot Plushy,Post breakfast treats - calory free,59
3d80c017-921a-41a5-8ac8-0932e1327fd3,Sadie,Miniature Schnauzer,2,True,Stack of Artisinal Homework,Stack of Artisinal Homework,89
446e64e1-ac94-46ff-8470-e5c8bc2d4806,Lola,Rottweiler,14,True,Stack of Artisinal Homework,Carrot Plushy,65
eb258790-4c8e-4d5e-b416-28287866037f,Bud,Shiba,14,True,Carrot Plushy,Post breakfast treats - calory free,56
e5d95f51-5812-4308-8f0b-e8dc6bd0bbea,Furrodosia,Poodle,1,True,Where is the Ball? - Transparent Edition,Carrot Plushy,64
fd5d8322-8903-4b0f-b851-acedf7171c4f,Stella,Australian Shepherd,1,True,Where is the Ball? - Transparent Edition,ChewChew Train Dog Bed,51
d2069a5d-3a4d-4b0e-8386-9b49a8c48c0a,Tucker,Yorkshire Terrier,3,True,Post breakfast treats - calory free,Where is the Ball? - Transparent Edition,7
9a0c0254-0339-45cc-872c-17c8ccc96138,Bear,Labrador Retriever,5,True,Where is the Ball? - Transparent Edition,ChewChew Train Dog Bed,15
e36c59cd-4cb7-425d-8a1a-d9371741d0fe,Zoey,French Bulldog,5,True,Where is the Ball? - Transparent Edition,Where is the Ball? - Transparent Edition,42
2be8acb9-c8ae-45d3-b8b7-c502beab79dd,Duke,Dachshund,1,True,Post breakfast treats - calory free,ChewChew Train Dog Bed,25
9bbe9883-3f17-4ad9-94ba-d05a7cf6ef7c,Penny,Labrador Retriever,1,True,Post breakfast treats - calory free,ChewChew Train Dog Bed,7
01d87342-e462-401f-af9a-b536c7105f73,Sophie,Dachshund,4,True,Stack of Artisinal Homework,Post breakfast treats - calory free,1
6b16e3ce-8320-4db2-9350-92b6876e0cdb,Harley,Labrador Retriever,9,True,Carrot Plushy,Carrot Plushy,26
